region,population,area,living_area,per_capita,real_incomes,formal_wage,real_pay,gdpp,income,subsidies,welfare,mining,manufact,indust,water_supply,provision,reg_prod_total,retail,poverty_percent,ps_child,ps_empl,ps_pens,childrens,child_orphanage,child_adopted,pension,pensioners,pensioners_percent,living_wage,unemployment_rate,newborn,child_mortality_rural,child_mortality_urban,child_mortality,morbidity,respiratory,neoplasms,disabled_18_60,density,spec_income,spec_subsidies,spec_mining,spec_manufact,spec_indust,spec_water_supply,spec_provision,spec_reg_prod,childrens_percent,child_orphanage_percent,newborn_1000,child_mortality_1000,disabled_1000
Московская область,7690863,44329,14.8,47046,97.8,58066,101.8,683845.1,431889.35798133,122168.61916969,19.4,13840410000000.0,3116645931940000,3523377685760000.0,114241824810000.0,278649519010000.0,7046755371520000.0,347566,6.8,49.9,44.4,5.7,1523795,762,86,18852.1,1841595,23.9,14586,3.6,79107,26,220,246,2573715,576.171,66.301,144541,173.49507094678427,56156.163226588484,15884.90383584911,1799591281.2385294,405240079291.49176,458125139631.2742,14854226997.672434,36231242060.87145,916250279262.5483,19.813056090064272,0.050006726626613165,10.285841783945441,0.031986007292029515,18.793859674785523
Мурманская область,741404,144902,17.7,46355,100.4,69135,105.1,1072337.1,54933.9738713,17979.89264785,22.8,199187594000000.0,745236878300000,1009107586000000.0,9779329720000.0,54903783960000.0,2018215171980000.0,242844,10.1,43.7,55.8,0.4,154266,267,65,23236.03,161229,21.7,18438,7.7,6481,0,25,25,344555,95.112,12.434,11520,5.116589143006998,74094.52049260591,24251.1406033013,268662691326.18652,1005169756704.8466,1361076533172.1975,13190284541.22179,74053800572.96696,2722153066317.4194,20.80727916223813,0.17307767103574345,8.741522840448662,0.0337198072845574,15.538087196724053
Ненецкий автономный округ,44111,176810,20.9,84147,101.1,92237,101.4,5206287.1,10156.23939091,8158.07223196,14.4,255509734000000.0,1713211500000,262955655850000.0,691191950000.0,5041518400000.0,525911311700000.0,226206,9.4,0.0,0.0,0.0,11983,20,0,27264.59,8168,18.5,22971,8.8,594,2,2,4,1193,0.549,44.485,1169,0.24948249533397432,230242.78277323116,184944.1688458661,5792426696288.908,38838645689.28385,5961226357371.178,15669378386.343542,114291637006.64233,11922452714742.355,27.165559610981386,0.16690311274305264,13.46602888168484,0.09068032916959488,26.501326199814105
Нижегородская область,3202946,76624,17.5,33645,95.2,37601,102.8,497418.6,122823.43659193,67799.55594683,22.2,1474376800000.0,1356573016080000,1500778959840000.0,34461742300000.0,108269824660000.0,3001557919680000.0,237008,9.4,31.7,64.5,3.8,606993,805,76,17203.47,878105,27.4,11228,4.6,27648,26,102,128,1302206,254.299,2.192,82687,41.800819586552514,38347.02070903787,21167.873559788397,460318968.84930307,423539146797.9791,468562055008.10815,10759389106.154148,33803200135.1256,937124110016.2163,18.951084407916962,0.13262096926982683,8.63205311609999,0.039963208870833294,25.815920717989002
Новгородская область,596508,54501,17.6,26268,96.8,34169,102.4,471333.3,20933.89923391,18830.37631132,25.3,962587400000.0,208251704200000,232368357200000.0,3380896000000.0,19773169600000.0,464736714400000.0,204547,13.6,40.1,58.6,1.3,117723,131,79,17414.26,173592,29.1,12346,5.8,4886,8,12,20,277475,97.17,50.148,18235,10.944900093576265,35094.07959978743,31567.684442320977,1613704091.1437902,349118040663.3272,389547763315.8315,5667813340.307256,33148205221.0532,779095526631.663,19.735359794001088,0.11127816994130289,8.191004982330497,0.03352846902304747,30.56958163176353
Новосибирская область,2798170,177756,16.3,31563,99.8,41534,102.9,485981.4,111865.77915205,68159.80983033999,25.4,51475249300000.0,564073883190000,708010570770000.0,23785897420000.0,68675540860000.0,1416021141540000.0,197028,13.8,34.1,61.5,4.4,586552,670,77,17302.84,683722,24.4,12598,6.7,28865,34,130,164,844139,148.469,8.734,70473,15.741634600238529,39978.192587316,24358.709381610122,18396040733.76528,201586709595.9145,253026288885.2357,8500519060.671797,24543019494.884155,506052577770.4714,20.96198586933603,0.11422687161581582,10.315670598998631,0.058609734219150375,25.18538902211088
Омская область,1926665,141140,16.9,27354,97.3,37828,103.7,398641.0,63141.01811259999,47280.37689511,29.0,2061436000000.0,865391001810000,934355649510000.0,13718542900000.0,53184668800000.0,1868711299020000.0,185769,13.6,38.8,56.2,5.1,417186,544,86,16454.08,478030,24.8,10956,8.9,17800,44,61,105,487422,85.345,5.898,49446,13.650736857021398,32772.18307936252,24540.009236224254,1069950406.5314937,449165268383.45013,484960099192.1273,7120357145.63767,27604523256.508007,969920198384.2546,21.65327132635928,0.13039747259016363,9.23876231726844,0.05449831704006664,25.66403604155367
Оренбургская область,1956835,123702,19.0,24719,97.7,35075,103.8,538971.9,56947.0608523,46416.3111729,26.6,481121953200000.0,310290124420000,880762104590000.0,24327045900000.0,65022981070000.0,1761524209180000.0,169416,14.0,42.8,53.9,3.3,436283,959,77,16338.86,486919,24.9,10438,5.9,18780,31,38,69,188268,44.698,3.932,58886,15.81894391359881,29101.61605464947,23720.09452656969,245867409975.80273,158567341865.81903,450095232653.7495,12431832985.407558,33228647826.72019,900190465307.499,22.295339157363806,0.21981145265802243,9.597130059509361,0.03526102098541778,30.092470749961034
Орловская область,733498,24652,18.8,26843,98.6,31862,103.7,390170.2,19372.44478445,21571.50227668,25.0,264510400000.0,132055767300000,149952405000000.0,4207389800000.0,13424737500000.0,299904810000000.0,194977,12.9,41.5,50.5,8.0,134620,322,71,17465.36,212036,28.9,11132,6.1,5735,12,21,33,133856,25.531,7.775,21479,29.754097030666884,26411.03968170329,29409.081247229027,360615025.53517526,180035620138.02356,204434647401.90158,5736061720.686355,18302350517.65649,408869294803.80316,18.353151610502007,0.23919179913831526,7.818698892157852,0.04498989772296584,29.282970096714646
Пензенская область,1305563,43352,16.9,24118,100.4,32766,102.9,379820.4,34380.4215256,34809.15812338,22.4,1858515400000.0,262498489000000,293334013300000.0,7271692200000.0,21705316700000.0,586668026600000.0,171267,13.0,32.7,54.5,12.8,231817,132,75,16055.7,383498,29.4,10396,5.1,9663,18,25,43,366229,92.193,13.847,32602,30.115404133603985,26333.789733318117,26662.181850573277,1423535593.456616,201061525947.04355,224680090734.80176,5569775031.921094,16625254162.38052,449360181469.6035,17.756094497163293,0.05694146676041878,7.4014046047567215,0.03293598240758967,24.971602289586944
Пермский край,2599260,160236,16.0,30215,95.1,41958,103.7,541930.2,83778.98206888999,53752.86099185,23.0,289888517500000.0,1059475304600000,1499640081380000.0,27709999850000.0,122566259430000.0,2999280162760000.0,214162,13.3,41.5,54.8,3.7,586634,509,84,17498.58,632176,24.3,11633,5.7,25529,31,88,119,524864,107.053,24.219,65683,16.221448363663598,32231.859094084462,20680.06316869032,111527326046.64404,407606512853.6584,576948855204.943,10660726456.760769,47154289847.87978,1153897710409.886,22.569269715226643,0.08676619493585438,9.82164154413179,0.04578226110508375,25.269884505590053
Приморский край,1895868,164673,15.7,37304,96.9,50105,103.1,582950.7,88556.84696617,53644.50192481,23.5,23985049450000.0,239009609260000,343330852690000.0,11045618080000.0,69290575900000.01,686661705380000.0,230378,13.0,49.6,46.2,4.2,376589,1458,66,17862.15,456973,24.1,14872,5.5,18060,26,69,95,813059,197.735,2.064,43976,11.512925616221239,46710.44976030503,28295.483612155487,12651223318.290092,126068697430.41182,181094281189.4077,5826153550.774632,36548206889.93116,362188562378.8154,19.863671943405343,0.387159476245987,9.52597965681155,0.05010897383151148,23.19570771804788
